Date,AAPL,AMZN,GOOG,MSFT,TSLA
2020-01-02,72.4005126953125,94.90049743652344,67.811767578125,152.15841674804688,28.68400001525879
2020-01-03,71.6966552734375,93.74849700927734,67.47898864746094,150.26377868652344,29.534000396728516
2020-01-06,72.26793670654297,95.14399719238281,69.1428451538086,150.65216064453125,30.1026668548584
2020-01-07,71.92804718017578,95.34300231933594,69.09969329833984,149.27854919433594,31.270666122436523
2020-01-08,73.08512115478516,94.59850311279297,69.64422607421875,151.65631103515625,32.80933380126953
2020-01-09,74.63748931884766,95.05249786376953,70.41342163085938,153.5509490966797,32.089332580566406
2020-01-10,74.80622863769531,94.15799713134766,70.90438079833984,152.84048461914062,31.876667022705078
2020-01-13,76.4044189453125,94.56500244140625,71.3755111694336,154.67828369140625,34.990665435791016
2020-01-14,75.37271881103516,93.47200012207031,70.96141052246094,153.58883666992188,35.861331939697266
2020-01-15,75.04969787597656,93.10099792480469,71.37401580810547,154.5835418701172,34.56666564941406
2020-01-16,75.98983001708984,93.89700317382812,71.99394989013672,157.416015625,34.232666015625
2020-01-17,76.83108520507812,93.23600006103516,73.41676330566406,158.2970428466797,34.03333282470703
2020-01-21,76.31041717529297,94.5999984741211,73.6156234741211,157.72860717773438,36.47999954223633
2020-01-22,76.58280181884766,94.37300109863281,73.69248962402344,156.9707794189453,37.97066879272461
2020-01-23,76.95159149169922,94.22899627685547,73.72720336914062,157.9370574951172,38.14666748046875
2020-01-24,76.72982788085938,93.08200073242188,72.73832702636719,156.34552001953125,37.654666900634766
2020-01-27,74.47357940673828,91.41699981689453,71.11117553710938,153.73098754882812,37.201332092285156
2020-01-28,76.58036804199219,92.6624984741211,72.03657531738281,156.743408203125,37.793331146240234
2020-01-29,78.18341064453125,92.9000015258789,72.33761596679688,159.18746948242188,38.732666015625
2020-01-30,78.07009887695312,93.53399658203125,72.19924926757812,163.67782592773438,42.72066879272461
2020-01-31,74.60856628417969,100.43599700927734,71.1275405883789,161.26214599609375,43.371334075927734
2020-02-03,74.4036636352539,100.20999908447266,73.69200134277344,165.1934814453125,52.0
2020-02-04,76.8600082397461,102.4834976196289,71.76432037353516,170.6311492919922,59.137332916259766
2020-02-05,77.48674774169922,101.99349975585938,71.82184600830078,170.42269897460938,48.97999954223633
2020-02-06,78.39311218261719,102.5114974975586,73.21044158935547,173.95616149902344,49.930667877197266
2020-02-07,77.32755279541016,103.96399688720703,73.35922241210938,174.2024688720703,49.871334075927734
2020-02-10,77.6948013305664,106.69550323486328,74.8197250366211,178.75912475585938,51.41866683959961
2020-02-11,77.22604370117188,107.54000091552734,74.82520294189453,174.72357177734375,51.62533187866211
2020-02-12,79.06001281738281,108.0,75.2953109741211,174.9792938232422,51.15266799926758
2020-02-13,78.49699401855469,107.49349975585938,75.11630249023438,174.0320281982422,53.599998474121094
2020-02-14,78.5163345336914,106.74349975585938,75.4178237915039,175.58555603027344,53.33533477783203
2020-02-18,77.07867431640625,107.78350067138672,75.36475372314453,177.36656188964844,57.22666549682617
2020-02-19,78.19495391845703,108.51100158691406,75.7129135131836,177.89849853515625,61.16133117675781
2020-02-20,77.39276123046875,107.65499877929688,75.28937530517578,175.1818084716797,59.96066665649414
2020-02-21,75.64100646972656,104.79850006103516,73.65082550048828,169.64381408691406,60.06666564941406
2020-02-24,72.04801177978516,100.4645004272461,70.50069427490234,162.32955932617188,55.58599853515625
2020-02-25,69.60758972167969,98.63700103759766,68.8572006225586,159.65081787109375,53.32733154296875
2020-02-26,70.7118148803711,98.97949981689453,69.09175872802734,161.64559936523438,51.91999816894531
2020-02-27,66.08950805664062,94.21499633789062,65.36783599853516,150.25621032714844,45.266666412353516
2020-02-28,66.05085754394531,94.1875,66.42118835449219,153.8943634033203,44.53266525268555
2020-03-02,72.20026397705078,97.69750213623047,68.8899154663086,164.1343994140625,49.574668884277344
2020-03-03,69.90721130371094,95.44950103759766,66.52335357666016,156.2691192626953,49.70066833496094
2020-03-04,73.14981842041016,98.79149627685547,68.76146697998047,162.00656127929688,49.96666717529297
2020-03-05,70.77705383300781,96.20149993896484,65.41496276855469,157.94097900390625,48.30266571044922
2020-03-06,69.83714294433594,95.05449676513672,64.391845703125,153.4763946533203,46.89866638183594
2020-03-09,64.31356811523438,90.03050231933594,60.283077239990234,143.07493591308594,40.53333282470703
2020-03-10,68.94554138183594,94.59100341796875,63.49818420410156,152.8589630126953,43.02199935913086
2020-03-11,66.551025390625,91.04299926757812,60.275638580322266,145.93414306640625,42.28200149536133
2020-03-12,59.97880554199219,83.83049774169922,55.29155731201172,132.09400939941406,37.369998931884766
2020-03-13,67.16474914550781,89.25,60.48988342285156,150.87368774414062,36.44133377075195
2020-03-16,58.52421188354492,84.4574966430664,53.7750129699707,128.63633728027344,29.67133331298828
2020-03-17,61.0975341796875,90.39199829101562,55.53406524658203,139.2278289794922,28.68000030517578
2020-03-18,59.60186004638672,91.5,54.3934326171875,133.3668975830078,24.08133316040039
2020-03-19,59.14519119262695,94.04650115966797,55.310401916503906,135.56117248535156,28.50933265686035
2020-03-20,55.39033126831055,92.30449676513672,53.17940139770508,130.46969604492188,28.50200080871582
2020-03-23,54.21360778808594,95.1415023803711,52.40079116821289,129.16830444335938,28.952667236328125
2020-03-24,59.65259552001953,97.00499725341797,56.26110076904297,140.90911865234375,33.66666793823242
2020-03-25,59.32400131225586,94.29199981689453,54.675621032714844,139.56031799316406,35.95000076293945
2020-03-26,62.44580841064453,97.77449798583984,57.6144905090332,148.28994750976562,35.21066665649414
2020-03-27,59.86040496826172,95.00499725341797,55.08326721191406,142.2010040283203,34.29066848754883
2020-03-30,61.56869888305664,98.19750213623047,56.87406921386719,152.20355224609375,33.47533416748047
2020-03-31,61.443058013916016,97.48600006103516,57.667057037353516,149.8097686767578,34.93333435058594
2020-04-01,58.21010208129883,95.38500213623047,54.830841064453125,144.4903106689453,32.104000091552734
2020-04-02,59.18143844604492,95.94149780273438,55.58564758300781,147.4824981689453,30.29800033569336
2020-04-03,58.33090591430664,95.32949829101562,54.446990966796875,146.12411499023438,32.000667572021484
2020-04-06,63.419559478759766,99.87950134277344,58.86273956298828,156.99105834960938,34.41600036621094
2020-04-07,62.68501281738281,100.58000183105469,58.84241485595703,155.3002471923828,36.36333465576172
2020-04-08,64.28941345214844,102.1500015258789,60.0212287902832,156.85809326171875,36.589332580566406
2020-04-09,64.75331115722656,102.13800048828125,60.07925033569336,156.86756896972656,38.20000076293945
2020-04-13,66.02428436279297,108.44349670410156,60.38226318359375,157.2190704345703,43.39666748046875
2020-04-14,69.35870361328125,114.16600036621094,62.944732666015625,164.998779296875,47.32600021362305
2020-04-15,68.72565460205078,115.38400268554688,62.60948181152344,163.26992797851562,48.65533447265625
2020-04-16,69.271728515625,120.40950012207031,62.65907287597656,168.17144775390625,49.680667877197266
2020-04-17,68.33180236816406,118.75,63.640018463134766,169.65330505371094,50.259334564208984
2020-04-20,66.9134750366211,119.68049621582031,62.814796447753906,166.2906494140625,49.75733184814453
2020-04-21,64.84513854980469,116.40599822998047,60.3217658996582,159.41331481933594,45.781333923339844
2020-04-22,66.71292114257812,118.17449951171875,62.64617919921875,164.82778930664062,48.807334899902344
2020-04-23,66.4543685913086,119.97250366210938,63.29584503173828,162.83297729492188,47.04199981689453
2020-04-24,68.37288665771484,120.51100158691406,63.44462585449219,165.8061981201172,48.34333419799805
2020-04-27,68.42120361328125,118.80000305175781,63.27452087402344,165.33123779296875,53.25
2020-04-28,67.31214141845703,115.7040023803711,61.18119812011719,161.30360412597656,51.27466583251953
2020-04-29,69.52301025390625,118.635498046875,66.52780151367188,168.54188537597656,53.367332458496094
2020-04-30,70.98968505859375,123.69999694824219,66.8838882446289,170.23277282714844,52.12533187866211
2020-05-01,69.84680938720703,114.302001953125,65.49280548095703,165.82522583007812,46.75466537475586
2020-05-04,70.8350601196289,115.79949951171875,65.7997817993164,169.88131713867188,50.74599838256836
2020-05-05,71.8982162475586,115.88999938964844,67.00537872314453,171.70510864257812,51.2140007019043
2020-05-06,72.6399917602539,117.56300354003906,66.81644439697266,173.3959503173828,52.172000885009766
2020-05-07,73.39144897460938,118.38050079345703,68.06915283203125,174.40284729003906,52.00266647338867
2020-05-08,75.1383056640625,118.98049926757812,68.85321044921875,175.4287567138672,54.62799835205078
2020-05-11,76.32061767578125,120.44999694824219,69.59166717529297,177.3855743408203,54.08599853515625
2020-05-12,75.44839477539062,117.84750366210938,68.22686767578125,173.36746215820312,53.96066665649414
2020-05-13,74.53744506835938,118.39600372314453,66.91712188720703,170.74574279785156,52.73066711425781
2020-05-14,74.99535369873047,119.44249725341797,67.25435638427734,171.48666381835938,53.55533218383789
2020-05-15,74.5519790649414,120.48899841308594,68.10040283203125,173.98487854003906,53.27799987792969
2020-05-18,76.30850219726562,121.31300354003906,68.63351440429688,175.64720153808594,54.242000579833984
2020-05-19,75.86756896972656,122.46649932861328,68.11502075195312,174.43130493164062,53.867332458496094
2020-05-20,77.34304809570312,124.89700317382812,69.76325225830078,176.85084533691406,54.37066650390625
2020-05-21,76.76642608642578,122.33699798583984,69.56884765625,174.7266387939453,55.17333221435547
2020-05-22,77.26066589355469,121.84400177001953,69.94674682617188,174.8028564453125,54.45866775512695
2020-05-26,76.73734283447266,121.09300231933594,70.2740478515625,172.9549102783203,54.591331481933594
2020-05-27,77.07168579101562,120.51950073242188,70.3147201538086,173.1835479736328,54.68199920654297
2020-05-28,77.10560607910156,120.05500030517578,70.25967407226562,172.79298400878906,53.72066879272461
2020-05-29,77.03050231933594,122.11849975585938,70.86419677734375,174.55517578125,55.66666793823242
2020-06-01,77.97779846191406,123.552001953125,71.0080337524414,174.15512084960938,59.87333297729492
2020-06-02,78.33879852294922,123.62049865722656,71.37500762939453,176.13641357421875,58.770668029785156
2020-06-03,78.77005004882812,123.91999816894531,71.23416900634766,176.5650634765625,58.86399841308594
2020-06-04,78.09169006347656,123.02999877929688,70.03401947021484,174.24085998535156,57.62533187866211
2020-06-05,80.31581115722656,124.1500015258789,71.33385467529297,178.3177490234375,59.04399871826172
2020-06-08,80.79067993164062,126.2030029296875,71.74149322509766,179.4227752685547,63.327999114990234
2020-06-09,83.34188842773438,130.04299926757812,72.21511840820312,180.7943878173828,62.711334228515625
2020-06-10,85.48609161376953,132.37249755859375,72.6956787109375,187.5003204345703,68.336669921875
2020-06-11,81.38185119628906,127.89800262451172,69.62041473388672,177.43191528320312,64.85600280761719
2020-06-12,82.08445739746094,127.2509994506836,70.08361053466797,178.83216857910156,62.35200119018555
2020-06-15,83.09961700439453,128.63400268554688,70.41439819335938,179.97520446777344,66.05999755859375
2020-06-16,85.30193328857422,130.7635040283203,71.54859161376953,184.3855438232422,65.47533416748047
2020-06-17,85.18323516845703,132.0489959716797,71.96517181396484,185.0237579345703,66.11933135986328
2020-06-18,85.21715545654297,132.69900512695312,71.21334075927734,187.00502014160156,66.9306640625
2020-06-19,84.73016357421875,133.75050354003906,71.0030746459961,185.8905792236328,66.72666931152344
2020-06-22,86.94701385498047,135.6909942626953,72.00186157226562,191.05337524414062,66.28800201416016
2020-06-23,88.80288696289062,138.2205047607422,72.6242446899414,192.32981872558594,66.78533172607422
2020-06-24,87.23533630371094,136.72000122070312,71.01547241210938,188.45289611816406,64.0566635131836
2020-06-25,88.3934326171875,137.72900390625,71.47966003417969,190.83428955078125,65.73200225830078
2020-06-26,85.67747497558594,134.64349365234375,67.44131469726562,187.01455688476562,63.982666015625
2020-06-29,87.65204620361328,134.0189971923828,69.18052673339844,189.02447509765625,67.29000091552734
2020-06-30,88.38375854492188,137.9409942626953,70.10494995117188,193.85389709472656,71.98733520507812
