Returns,Volatility,Sharpe
0.22512479783241798,0.33685122817631263,0.6386344470141538
0.23588476008224757,0.3232510180207851,0.6987905605535422
0.2056295213589633,0.3087209406744635,0.6336775242119014
0.3080211552209291,0.36436810379417184,0.8179123038422663
0.2603638157207646,0.33648474755358365,0.7440569521829375
0.27386224732760917,0.3526319601290226,0.748265265664139
0.30723437022710204,0.3725392964470255,0.7978604487147527
0.2492426285904717,0.34650935868812277,0.6904362684351133
0.2949623573558453,0.36865965970580117,0.7729686442591841
0.23027188456563719,0.3326141072629742,0.6622445643638438
0.2885106791936935,0.34124931175504525,0.8161501564979371
0.20500174272469615,0.30778894804957285,0.6335566756389477
0.30692904540048593,0.38034792253458793,0.780677447695232
0.2508702076816927,0.32011117965737623,0.7524579676957946
0.27028307522927764,0.3341157706300523,0.7790206213207292
0.21491376066548296,0.31709060752817536,0.6462309377841636
0.3132315228011604,0.37867859879953153,0.8007622394358969
0.3054276808300532,0.36326416006666157,0.8132585410458333
0.2559690784071397,0.3407236141598687,0.7219020583989526
0.2466665062224881,0.3282873845964126,0.7209125824723338
0.3096985785688532,0.36683352664750535,0.8169879708318948
0.2844590462929173,0.3430447354222247,0.800067798606817
0.29118866085008355,0.36355289337303276,0.7734463567081633
0.2521734302667641,0.33882211748194535,0.7147509497507011
0.25847031949276317,0.3448315014294346,0.7205557452343416
0.2573662478866797,0.3271619547299793,0.7560972304705834
0.26854656628004986,0.34332121572346613,0.7530748303311979
0.33141408076089,0.3812484441068987,0.8430567671268144
0.22947698165709635,0.3276460344092145,0.6698600276143732
0.2003923768862621,0.30143678440538996,0.6316162682727241
0.28855899894736947,0.3611676950548366,0.771273297034707
0.2051322319262833,0.30879477386336046,0.6319155906849251
0.23016670139354134,0.3216694647406249,0.6844501126989802
0.2848807636474245,0.34610500049749937,0.7942120548744007
0.2642845781496879,0.34792469767991846,0.7308609588377741
0.22722527671197468,0.3331473013407939,0.6520397308869793
0.27740944057912326,0.36077111422016683,0.7412163281341089
0.3198264622238461,0.3854862835792921,0.803728888475786
0.3355777202068814,0.4248547069651897,0.7663272052051374
0.2401081149635274,0.3476761855446557,0.6618460640410248
0.2659743130556891,0.3328788248334577,0.7689714513494673
0.2895297369805788,0.36956391899579466,0.756377239802351
0.22438873296661188,0.3057921497895746,0.7010929911514722
0.2281804869753039,0.31803180287652355,0.6860335507389898
0.2440594634113092,0.32759714123307554,0.7144734613077192
0.23942056576134096,0.3411169009670211,0.6725570181687397
0.3025486528498949,0.375680993902849,0.7787156060536506
0.2078123291047239,0.30247259729352016,0.653984297667687
0.2627213356845816,0.3389967418955692,0.745497830661849
0.3757964761154952,0.44088648306914197,0.8296840346954552
0.21880385669389907,0.3271599537962737,0.6382317098134928
0.2983092680529766,0.35084177436542785,0.8217643653594141
0.21652712599163326,0.3044565988197089,0.6783466897819913
0.22325871328807945,0.32092373641225613,0.6645152386426443
0.2976980225496278,0.3559505811886395,0.8082527119042949
0.26992097028180895,0.3563186357211829,0.7294621841929017
0.29994390214652517,0.35776790024867317,0.8104245851709846
0.2437684906024741,0.3285128284431507,0.7115962311436121
0.2618311026147656,0.3434524926302025,0.7332341678064738
0.20718111987859086,0.3074873160577209,0.6412658655538702
0.29117428267919265,0.38378228707204126,0.7326400726420507
0.21970885415392297,0.304644759276731,0.6883717765301491
