,AAPL,AMZN,GOOG,MSFT,TSLA
AAPL,1.0,0.6264734941437687,0.6918821909982216,0.7796366734573484,0.5199574233079245
AMZN,0.6264734941437687,1.0,0.6718461559649883,0.6807477540640664,0.45706072105976026
GOOG,0.6918821909982216,0.6718461559649883,1.0,0.77012487107662,0.4341729698553837
MSFT,0.7796366734573484,0.6807477540640664,0.77012487107662,1.0,0.48111827444502536
TSLA,0.5199574233079245,0.45706072105976026,0.4341729698553837,0.48111827444502536,1.0
