Date,AAPL,AMZN,GOOG,MSFT,TSLA
2020-01-03,,,,,
2020-01-06,,,,,
2020-01-07,,,,,
2020-01-08,,,,,
2020-01-09,,,,,
2020-01-10,,,,,
2020-01-13,,,,,
2020-01-14,,,,,
2020-01-15,,,,,
2020-01-16,,,,,
2020-01-17,,,,,
2020-01-21,,,,,
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,0.01655590282422536,0.016562530795361234,0.013043354256843078,0.014394366061874766,0.061446467486154344
2020-02-18,0.016855855135717867,0.016307689851724032,0.012971546025603974,0.014044949562934967,0.062101046637174105
2020-02-19,0.016969302468054583,0.016201221291018808,0.012373499169974699,0.014042162659721991,0.06262401940653925
2020-02-20,0.01708320450152923,0.01635242163254758,0.012457405157546234,0.01431053140878893,0.06305432463271804
2020-02-21,0.01749097071039352,0.01717912784654434,0.013214410945668557,0.015708340681259425,0.06295379020606379
2020-02-24,0.01929491057890619,0.019088471700961444,0.015490151202672166,0.017869036609751775,0.06501420754947869
2020-02-25,0.020212212878922706,0.019337798045663785,0.016015016100507366,0.01815148976748881,0.06578190989742813
2020-02-26,0.02001845182680053,0.019334241266123597,0.015973046193742183,0.018160953675051,0.06463521182564431
2020-02-27,0.02321615094508087,0.021340025221845083,0.018796016897898764,0.02266844588344469,0.07015688182598934
2020-02-28,0.023226504699274817,0.021325372857316546,0.019045912188127075,0.023080054714949703,0.06980808412763932
2020-03-02,0.028690114684912112,0.02228856472722033,0.020243615128914354,0.025737776554613727,0.07199143004382341
2020-03-03,0.029113891127231756,0.022691892598000862,0.020731435646036755,0.02731898921175515,0.07193468801900144
2020-03-04,0.030415599540193843,0.023387176399749156,0.02175141483852056,0.028108372557848534,0.07113687167686902
2020-03-05,0.030936674439083326,0.023933982161486813,0.02340840559126299,0.028501477005788506,0.07135740155883438
2020-03-06,0.03096404051928918,0.024042710873916618,0.02348968011530004,0.028956667925790665,0.07168462366896186
2020-03-09,0.03417001657154708,0.02594935831338157,0.025998324792380796,0.03157021858460116,0.07687227135770358
2020-03-10,0.036505250249161764,0.027317960879021486,0.027877756967506016,0.03386377686201651,0.07751561418448007
2020-03-11,0.03651127399062018,0.02813071008125909,0.029037280675114966,0.034670605633823195,0.07759038043090578
2020-03-12,0.040410012024315864,0.03184707618065912,0.03244908857600236,0.038755846987247405,0.08086017930161178
2020-03-13,0.046142949276684136,0.034023026478822986,0.037124725107858976,0.046011198892373574,0.07874934375696777
2020-03-16,0.051676040060916466,0.03249368958904507,0.04235632398072644,0.05417604721819973,0.08668056245384342
2020-03-17,0.05250855618018784,0.03517054984655858,0.04224255821811487,0.05617855707520292,0.07859226920407107
2020-03-18,0.05207921109550306,0.034959704972752276,0.04217536048620355,0.05610231741405163,0.07834977030313278
2020-03-19,0.051985367724490875,0.03542005348982467,0.04240548698189273,0.05626885524204361,0.08054619907999044
2020-03-20,0.05283332043810117,0.03550589706418474,0.04242395297041262,0.05627864055550428,0.08031362249017271
2020-03-23,0.05286315664062831,0.0359033171144074,0.042361501917724476,0.05624025539566353,0.08049932285903917
2020-03-24,0.05633487079201399,0.035741401842481126,0.04463206738394247,0.05864070764967391,0.08582730730161303
2020-03-25,0.05633584402581188,0.035966728164994834,0.044726642076257914,0.05857449211178459,0.0870050276399358
2020-03-26,0.05710867790630518,0.0366991455959082,0.046091700386549396,0.059869778880759894,0.08701757279712183
2020-03-27,0.057452744499311655,0.036991578604490705,0.0465359514514515,0.06023765814172293,0.08632439278699264
2020-03-30,0.057832543622480546,0.03760162841278169,0.04711045040348256,0.061714012025549714,0.08631904345300924
2020-03-31,0.057808720437298115,0.03753502813211093,0.04727774260076013,0.06168043144448798,0.08551026089516693
